"","F-Value","Pr(>F)","Not-exposed_Radiotherapy-Exposed_Radiotherapy","diff Not-exposed_Radiotherapy-Exposed_Radiotherapy","NETcolors"
"UBE2Q2P3|100133144",0.873396624393075,0.350546121056975,0.350546121042945,-0.177494581885948,"turquoise"
"UBE2Q2P3|100134869",4.98633933423213,0.0260681647759588,0.0260681647511896,-0.321540209805742,"green"
"LOC149767|10357",0.0722829489830464,0.788171512662558,0.788171512658294,0.0170028142128773,"turquoise"
"TIMM23|10431",0.243562995891551,0.621898822249488,0.621898822241747,-0.027536393867182,"blue"
"LOC155060|155060",5.93065831579831,0.0152890183392203,0.0152890183137058,-0.321975538888491,"green"
"RNU12-2P|26823",1.49209702506712,0.222566925503657,0.222566925486103,-0.345631346972977,"green"
"CXORF67|340602",0.476526880605092,0.490383745741871,0.490383745730815,0.20152054158075,"brown"
"EFCAB8|388795",2.80789371442772,0.0945474746341612,0.0945474746118934,-0.487541463948684,"green"
"SRP14P1|390284",8.73463139630941,0.00329554406584877,0.00329554403950794,0.359777406371688,"grey"
"KIAA1618|57714",0.314885950955267,0.57499237978935,0.574992379780603,-0.0810638983410676,"turquoise"
"LOC645851|645851",3.61820053167305,0.0578248350231868,0.0578248349997861,-0.356569527133088,"green"
"RGPD7|652919",0.593590540227122,0.441485445736806,0.441485445725995,0.489914216202175,"turquoise"
"HSPB1P1|653553",0.82382018027661,0.364578743151098,0.364578743137425,0.141953933490476,"blue"
"ANKRD20A20P|728788",1.93355412539071,0.165096115548196,0.165096115528843,0.43818830354643,"grey"
"TMPRSS11E2|729884",0.421296585735744,0.516640551152652,0.516640551142601,0.188813238222474,"grey"
"LOC100132347|8225",0.461676725209407,0.497210414079142,0.497210414068657,-0.0427942103351722,"blue"
"EFCAB12|90288",6.42140581044295,0.0116326039047897,0.0116326038790328,0.323722830375297,"blue"
"A1BG|1",3.43356126227665,0.0645755332557256,0.0645755332326234,0.313319175735417,"yellow"
"A2BP1|54715",10.8037811339115,0.00109741624140721,0.00109741621473047,1.04369675712982,"brown"
"A2LD1|87769",0.751347767268624,0.386537811480016,0.386537811466894,0.0753212324864494,"grey"
"A2M|2",0.663118679446448,0.415916050592343,0.415916050579941,-0.110032651620308,"yellow"
"A2ML1|144568",1.28598251880952,0.25742887973722,0.257428879720662,0.339128602512184,"black"
"A4GALT|53947",1.74842734578402,0.186784051533394,0.186784051514742,0.131548110071497,"brown"
"AAAS|8086",0.143929134842978,0.704594785553198,0.704594785547196,-0.0149987626709649,"blue"
"AACS|65985",0.255479586765577,0.613504298922894,0.613504298914973,-0.0303842332657833,"grey"
"AADACL4|343066",0.0266942627214029,0.870293746106301,0.8702937461037,-0.0467004905934729,"yellow"
"AADAT|51166",3.2070637297261,0.0740308201801579,0.0740308201574589,0.219017937265528,"grey"
"AAGAB|79719",0.118575536031703,0.730754520122338,0.730754520116905,-0.0135078161645712,"grey"
"AAK1|22848",3.14968561763458,0.0766556431289146,0.076655643106324,0.141921889636858,"grey"
"AAMP|14",0.373739893524392,0.541298811918225,0.541298811908709,-0.0231914521600789,"blue"
"AANAT|15",1.02573408446024,0.31174304545626,0.31174304544082,-0.279208538449469,"grey"
"AARS|16",0.00627301061978612,0.936908874250584,0.936908874249314,-0.00477887003236965,"grey"
"AARS2|57505",1.74713258292671,0.186946967566493,0.186946967547849,0.0477172305640572,"green"
"AARSD1|80755",0.396805509593028,0.529081368276787,0.529081368267007,0.0345051893722008,"blue"
"AASDH|132949",0.0990029800745989,0.753183441685728,0.753183441680751,0.0178445112507113,"turquoise"
"AASDHPPT|60496",2.1609528983019,0.142295036445962,0.142295036425841,0.0692921974885898,"turquoise"
"AASS|10157",0.118370260645325,0.730978598394163,0.730978598388731,0.0267105805677623,"grey"
"AATF|26574",2.16376271300248,0.142036568073525,0.142036568053389,-0.0547985190687239,"pink"
"AATK|9625",9.65149335529166,0.00201852804641193,0.00201852801997704,-0.498793453243553,"yellow"
"ABAT|18",9.880023986649,0.00178761865875311,0.00178761863230115,0.388991864055434,"grey"
"ABCA10|10349",0.150084700095975,0.69864790794991,0.698647907943802,0.0629660120861653,"green"
"ABCA1|19",0.462038451524782,0.497042026830343,0.497042026819843,-0.0773385018759285,"turquoise"
"ABCA11P|79963",1.12431235771229,0.289592578724119,0.289592578708475,0.0630361325436084,"green"
"ABCA12|26154",0.312487778016168,0.57645132004105,0.576451320032331,-0.206739918470428,"grey"
"ABCA13|154664",1.13854073600634,0.286565207534652,0.286565207518926,-0.360096563264435,"grey"
"ABCA17P|650655",1.44884317589527,0.229382094578019,0.229382094560668,-0.222146743183303,"green"
"ABCA2|20",1.65977715225211,0.19833270135053,0.19833270133224,-0.0934144914539967,"grey"
