"","c(1:nrow(cleanDat))","rownames(cleanDat)","net$colors","kMEmagenta","kMEturquoise","kMEblack","kMEred","kMEbrown","kMEyellow","kMEgreen","kMEblue","kMEpink","kMEtableSortVector"
"TPX2|22974",15994,"TPX2|22974","magenta",0.920351693728423,0.164577982712877,-0.295691522157047,0.0626928840225312,-0.390030032832715,-0.0261699636348743,-0.0131826997750492,-0.036064875766998,0.191404644231512,"M9 magenta|0.9204"
"KIF4A|24137",8129,"KIF4A|24137","magenta",0.91311251013255,0.206599265337157,-0.308196508373528,0.0199876776252848,-0.42514673145182,-0.0725378046167439,-0.000464813066407638,-0.0530022998322728,0.188822628334541,"M9 magenta|0.9131"
"NUSAP1|51203",10846,"NUSAP1|51203","magenta",0.907732554246281,0.193970583397111,-0.272237183101423,0.0734380936700897,-0.376122433369153,-0.027708090166167,-0.0072038340953418,-0.07561964412063,0.171905738853025,"M9 magenta|0.9077"
"NEK2|4751",10413,"NEK2|4751","magenta",0.907152657678609,0.165710874638588,-0.289456886958519,0.0600096944648176,-0.409059094117091,-0.0417423471538557,-0.004000584463217,-0.0277569641074362,0.219150963103146,"M9 magenta|0.9072"
"MELK|9833",9526,"MELK|9833","magenta",0.907114364950124,0.201685174047312,-0.28273898682951,0.0604690298863187,-0.430414520564039,-0.0772009165986323,-0.0196467643048657,-0.0567982549860173,0.181424591281747,"M9 magenta|0.9071"
"DLGAP5|9787",4456,"DLGAP5|9787","magenta",0.906658417982337,0.252368485191008,-0.27001025026856,0.0786568058929018,-0.390820358809625,-0.0456956808383394,-0.074367603972294,-0.124028423246344,0.137492448746718,"M9 magenta|0.9067"
"CENPF|1063",3219,"CENPF|1063","magenta",0.900187348319629,0.310216249607132,-0.290089404680107,0.0680579196098132,-0.397285721950407,-0.0548834236296786,-0.0249866531957302,-0.174149289097658,0.133035717450335,"M9 magenta|0.9002"
"CDK1|983",3128,"CDK1|983","magenta",0.897794057095646,0.0975504513555216,-0.342075987955694,0.0236266462902991,-0.439754820395267,-0.092336237219661,-0.0029892290681196,0.0298651266565293,0.239674208248021,"M9 magenta|0.8978"
"NUF2|83540",10815,"NUF2|83540","magenta",0.895891720641077,0.0988463456835591,-0.314361922934989,0.0324617779018311,-0.421401421720392,-0.056308761977675,0.117020900524031,0.0248085579195608,0.283317238016113,"M9 magenta|0.8959"
"TOP2A|7153",15927,"TOP2A|7153","magenta",0.893110441971037,0.355995323807451,-0.278324446557773,0.0803825180270159,-0.364036520579652,-0.0351985522678925,-0.0880088290390596,-0.230886219306621,0.0744141912416271,"M9 magenta|0.8931"
"KIF20A|10112",8113,"KIF20A|10112","magenta",0.890109749710114,0.15651600086339,-0.276313664024961,0.0697599570027495,-0.368375930370167,-0.010360317338749,0.00354940432117124,-0.0320318372477239,0.183585414215936,"M9 magenta|0.8901"
"HMMR|3161",7103,"HMMR|3161","magenta",0.888527025354766,0.279482570711312,-0.32381263212704,0.0415663393868847,-0.401095075278088,-0.0951490373694279,-0.101024922762995,-0.142849100487567,0.140512233647049,"M9 magenta|0.8885"
"NCAPG|64151",10257,"NCAPG|64151","magenta",0.887812339629206,0.152320127614778,-0.288373836329866,0.0580427747383367,-0.397177019431873,-0.0573247698465011,0.00394729883800391,-0.0260609696835181,0.22580391173384,"M9 magenta|0.8878"
"PRC1|9055",12136,"PRC1|9055","magenta",0.883597750655642,0.195992062493057,-0.38987145225931,-0.0483457705523263,-0.465697977443577,-0.111890599360662,0.0353955945266972,-0.041029828426242,0.170633091770001,"M9 magenta|0.8836"
"GTSE1|51512",6754,"GTSE1|51512","magenta",0.882814598299633,0.133974056101168,-0.299951887637659,0.0263451184528245,-0.422235770489503,-0.041282346996182,0.0898522456544738,0.00813046383627525,0.21540329772997,"M9 magenta|0.8828"
"BUB1B|701",1530,"BUB1B|701","magenta",0.881366165795316,0.349699093758718,-0.343510524535782,0.00752904250682877,-0.447438877345313,-0.136597058687048,-0.0378224782972606,-0.179897690277547,0.124775457520037,"M9 magenta|0.8814"
"CDCA5|113130",3084,"CDCA5|113130","magenta",0.880898060017979,0.035031398081068,-0.277028485038909,0.0523403444934162,-0.397607845952541,-0.0439260526856968,0.0873539866127697,0.0858456699276524,0.268760013353558,"M9 magenta|0.8809"
"AURKA|6790",1193,"AURKA|6790","magenta",0.879644741323607,0.0942415110707229,-0.334662742974934,0.0179219843475816,-0.408416775059436,-0.0848333334001479,-0.0268057184859744,0.0428324574337346,0.247878618462891,"M9 magenta|0.8796"
"SPAG5|10615",14648,"SPAG5|10615","magenta",0.879210830543627,0.0695998623618439,-0.198019515071546,0.100102548169634,-0.392452922275389,0.00277909087577459,0.203325982298409,0.0435704857787626,0.236977456442824,"M9 magenta|0.8792"
"CENPA|1058",3214,"CENPA|1058","magenta",0.877270339473166,-0.0169899995213211,-0.312529410464104,0.0441889126935582,-0.426490910645011,-0.0337560528374342,0.11075947517867,0.142506813622003,0.326685747048373,"M9 magenta|0.8773"
"SKA3|221150",14021,"SKA3|221150","magenta",0.876475893882094,0.0486360257373446,-0.371444343304743,-0.0708767419834235,-0.461713603897164,-0.143159335857153,0.042837364125855,0.112325021984208,0.333364540887707,"M9 magenta|0.8765"
"BUB1|699",1529,"BUB1|699","magenta",0.874969004594467,0.320842661025942,-0.230731257928691,0.124694156242658,-0.341505981413159,-0.00326782944978487,-0.0748332709114963,-0.200294801196338,0.0256491301323122,"M9 magenta|0.875"
"CDCA8|55143",3087,"CDCA8|55143","magenta",0.866418915337113,0.134923495888572,-0.367284185025529,-0.00483637189708331,-0.46829953400818,-0.153727750357899,0.0251102606316492,0.0284743703959223,0.219460733156725,"M9 magenta|0.8664"
"RACGAP1|29127",12640,"RACGAP1|29127","magenta",0.86426108963745,0.337748084783802,-0.275122024976249,0.0784336956061985,-0.32239334934864,-0.0375505645290074,-0.114503973627973,-0.219713050772194,0.0520728569498928,"M9 magenta|0.8643"
"EPR1|8475",5079,"EPR1|8475","magenta",0.863754622646114,0.0190595382900637,-0.271652818929505,0.0525185943787924,-0.397058205968059,-0.0481486576120098,0.0617464191881405,0.0991236646944658,0.284675713720703,"M9 magenta|0.8638"
"CENPE|1062",3218,"CENPE|1062","magenta",0.861423550188595,0.330796348999745,-0.259722658944705,0.0788272844624523,-0.343556277316194,-0.0122401817774653,0.0293461782452081,-0.210836944553488,0.0848845502835208,"M9 magenta|0.8614"
"CDC20|991",3053,"CDC20|991","magenta",0.85955843283945,-0.0271790417764089,-0.22663087119875,0.0774675092550234,-0.413350612305117,-0.0118394325044953,0.118196739984477,0.146568645115621,0.308107561015877,"M9 magenta|0.8596"
"UBE2C|11065",16396,"UBE2C|11065","magenta",0.859372134709818,-0.13076996900467,-0.281429819167047,0.0298732693967761,-0.430673670452991,-0.0274406468957386,0.172632456505736,0.249803473590409,0.415842949808818,"M9 magenta|0.8594"
"DEPDC1B|55789",4322,"DEPDC1B|55789","magenta",0.858433166471806,0.212649901694225,-0.298100331203732,0.0587250671928117,-0.392218281194609,-0.0767384702336434,-0.0384584203687638,-0.0916969938519517,0.154485730635112,"M9 magenta|0.8584"
"NCAPH|23397",10259,"NCAPH|23397","magenta",0.858280529918484,0.150775716190974,-0.217765381228163,0.152232437269238,-0.315153620017378,0.029145089829394,-0.00732609559636777,-0.0503078086176203,0.146700815567834,"M9 magenta|0.8583"
"CEP55|55165",3244,"CEP55|55165","magenta",0.858021456618604,0.168170385529687,-0.220340819143801,0.167284334491629,-0.319681249289956,0.0274518523047174,-0.043988082611902,-0.0900915380219203,0.169015995331993,"M9 magenta|0.858"
"ESPL1|9700",5140,"ESPL1|9700","magenta",0.857246605779758,0.208826950592202,-0.159040620239535,0.158329719015822,-0.314363713417091,0.0492562869773506,0.112818821551838,-0.116641075791266,0.102882729490067,"M9 magenta|0.8572"
