#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
ABRACL,Costars family protein ABRACL; ABRA C-terminal like; Belongs to the costars family
ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial; Plays a major role in ketone body metabolism"
ACBD7,Acyl-CoA-binding domain-containing protein 7; Binds medium- and long-chain acyl-CoA esters
ACP1,Low molecular weight phosphotyrosine protein phosphatase; Class II Cys-based phosphatases
ACTL6A,"Actin-like protein 6A; Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner. Required for maximal ATPase activity of SMARCA4/BRG1/BAF190A and for association of the SMARCA4/BRG1/BAF190A containing remodeling complex BAF with chromatin/nuclear matrix. Belongs to the neural progenitors- specific chromatin rem [...] "
ACTL8,Actin-like protein 8; Actin related proteins
ADK,Adenosine kinase; ATP dependent phosphorylation of adenosine and other related nucleoside analogs to monophosphate derivatives. Serves as a potential regulator of concentrations of extracellular adenosine and intracellular adenine nucleotides; Belongs to the carbohydrate kinase PfkB family
AFP,"Alpha-fetoprotein; Binds copper, nickel, and fatty acids as well as, and bilirubin less well than, serum albumin. Only a small percentage (less than 2%) of the human AFP shows estrogen-binding properties; Belongs to the ALB/AFP/VDB family"
AGK,"Acylglycerol kinase, mitochondrial; Lipid kinase that can phosphorylate both monoacylglycerol and diacylglycerol to form lysophosphatidic acid (LPA) and phosphatidic acid (PA), respectively. Does not phosphorylate sphingosine. Independently of its lipid kinase activity, acts as a component of the TIM22 complex. The TIM22 complex mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane by forming a twin-pore translocase that uses the membrane potential as the external driving force. In the TIM22 complex, required for the import of a su [...] "
AIFM1,"Apoptosis-inducing factor 1, mitochondrial; Functions both as NADH oxidoreductase and as regulator of apoptosis. In response to apoptotic stimuli, it is released from the mitochondrion intermembrane space into the cytosol and to the nucleus, where it functions as a proapoptotic factor in a caspase-independent pathway. In contrast, functions as an antiapoptotic factor in normal mitochondria via its NADH oxidoreductase activity. The soluble form (AIFsol) found in the nucleus induces 'parthanatos' i.e. caspase-independent fragmentation of chromosomal DNA. Interacts with EIF3G,and thereby  [...] "
AIMP2,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2; Required for assembly and stability of the aminoacyl- tRNA synthase complex. Mediates ubiquitination and degradation of FUBP1, a transcriptional activator of MYC, leading to MYC down-regulation which is required for aveolar type II cell differentiation. Blocks MDM2-mediated ubiquitination and degradation of p53/TP53. Functions as a proapoptotic factor"
AKR1D1,"3-oxo-5-beta-steroid 4-dehydrogenase; Efficiently catalyzes the reduction of progesterone, androstenedione, 17-alpha-hydroxyprogesterone and testosterone to 5-beta-reduced metabolites. The bile acid intermediates 7- alpha,12-alpha-dihydroxy-4-cholesten-3-one and 7-alpha-hydroxy-4- cholesten-3-one can also act as substrates; Aldo-keto reductases"
ANLN,Anillin; Required for cytokinesis. Essential for the structural integrity of the cleavage furrow and for completion of cleavage furrow ingression. Plays a role in bleb assembly during metaphase and anaphase of mitosis. May play a significant role in podocyte cell migration; Pleckstrin homology domain containing
APOBEC3B,"DNA dC->dU-editing enzyme APOBEC-3B; DNA deaminase (cytidine deaminase) which acts as an inhibitor of retrovirus replication and retrotransposon mobility via deaminase-dependent and -independent mechanisms. After the penetration of retroviral nucleocapsids into target cells of infection and the initiation of reverse transcription, it can induce the conversion of cytosine to uracil in the minus-sense single-strand viral DNA, leading to G-to-A hypermutations in the subsequent plus-strand viral DNA. The resultant detrimental levels of mutations in the proviral genome, along with a deamina [...] "
ARHGAP11A,Rho GTPase activating protein 11A
ARHGDIG,"Rho GDP-dissociation inhibitor 3; Inhibits GDP/GTP exchange reaction of RhoB. Interacts specifically with the GDP- and GTP-bound forms of post- translationally processed Rhob and Rhog proteins, both of which show a growth-regulated expression in mammalian cells. Stimulates the release of the GDP-bound but not the GTP-bound RhoB protein. Also inhibits the GDP/GTP exchange of RhoB but shows less ability to inhibit the dissociation of prebound GTP"
ARHGEF26,"Rho guanine nucleotide exchange factor 26; Activates RhoG GTPase by promoting the exchange of GDP by GTP. Required for the formation of membrane ruffles during macropinocytosis. Required for the formation of cup-like structures during trans-endothelial migration of leukocytes. In case of Salmonella enterica infection, activated by SopB, which induces cytoskeleton rearrangements and promotes bacterial entry; Pleckstrin homology domain containing"
ARHGEF39,Rho guanine nucleotide exchange factor 39; Promotes cell proliferation
ARL6IP1,"ADP-ribosylation factor-like protein 6-interacting protein 1; Positively regulates SLC1A1/EAAC1-mediated glutamate transport by increasing its affinity for glutamate in a PKC activity-dependent manner. Promotes the catalytic efficiency of SLC1A1/EAAC1 probably by reducing its interaction with ARL6IP5, a negative regulator of SLC1A1/EAAC1-mediated glutamate transport (By similarity). Plays a role in the formation and stabilization of endoplasmic reticulum tubules. Negatively regulates apoptosis, possibly by modulating the activity of caspase-9 (CASP9). Inhibits cleavage of CASP9-depende [...] "
ARMC10,Armadillo repeat-containing protein 10; May play a role in cell survival and cell growth. May suppress the transcriptional activity of p53/TP53; Armadillo repeat containing
ASF1B,Histone chaperone ASF1B; Histone chaperone that facilitates histone deposition and histone exchange and removal during nucleosome assembly and disassembly. Cooperates with chromatin assembly factor 1 (CAF-1) to promote replication-dependent chromatin assembly. Does not participate in replication-independent nucleosome deposition which is mediated by ASF1A and HIRA. Required for spermatogenesis; Belongs to the ASF1 family
ASPM,"Abnormal spindle-like microcephaly-associated protein; Involved in mitotic spindle regulation and coordination of mitotic processes. The function in regulating microtubule dynamics at spindle poles including spindle orientation, astral microtubule density and poleward microtubule flux seems to depend on the association with the katanin complex formed by KATNA1 and KATNB1. Enhances the microtubule lattice severing activity of KATNA1 by recruiting the katanin complex to microtubules. Can block microtubule minus-end growth and reversely this function can be enhanced by the katanin complex [...] "
ASUN,"Integrator complex subunit 13; Crucial regulator of the mitotic cell cycle and development. At prophase, required for dynein anchoring to the nuclear envelope important for proper centrosome-nucleus coupling. At G2/M phase, may be required for proper spindle formation and execution of cytokinesis. Probable component of the Integrator (INT) complex, a complex involved in the small nuclear RNAs (snRNA) U1 and U2 transcription and in their 3'-box-dependent processing"
ATAD2,"ATPase family AAA domain-containing protein 2; May be a transcriptional coactivator of the nuclear receptor ESR1 required to induce the expression of a subset of estradiol target genes, such as CCND1, MYC and E2F1. May play a role in the recruitment or occupancy of CREBBP at some ESR1 target gene promoters. May be required for histone hyperacetylation. Involved in the estrogen-induced cell proliferation and cell cycle progression of breast cancer cells; Belongs to the AAA ATPase family"
ATG3,"Ubiquitin-like-conjugating enzyme ATG3; E2 conjugating enzyme required for the cytoplasm to vacuole transport (Cvt), autophagy, and mitochondrial homeostasis. Responsible for the E2-like covalent binding of phosphatidylethanolamine to the C-terminal Gly of ATG8-like proteins (GABARAP, GABARAPL1, GABARAPL2 or MAP1LC3A). The ATG12- ATG5 conjugate plays a role of an E3 and promotes the transfer of ATG8-like proteins from ATG3 to phosphatidylethanolamine (PE). This step is required for the membrane association of ATG8-like proteins. The formation of the ATG8-phosphatidylethanolamine conjug [...] "
ATP5B,"ATP synthase subunit beta, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the c [...] "
AUNIP,"Aurora kinase A and ninein-interacting protein; DNA-binding protein that accumulates at DNA double- strand breaks (DSBs) following DNA damage and promotes DNA resection and homologous recombination. Serves as a sensor of DNA damage: binds DNA with a strong preference for DNA substrates that mimic structures generated at stalled replication forks, and anchors RBBP8/CtIP to DSB sites to promote DNA end resection and ensuing homologous recombination repair. Inhibits non-homologous end joining (NHEJ). Required for the dynamic movement of AURKA at the centrosomes and spindle apparatus durin [...] "
AURKA,"Aurora kinase A; Mitotic serine/threonine kinase that contributes to the regulation of cell cycle progression. Associates with the centrosome and the spindle microtubules during mitosis and plays a critical role in various mitotic events including the establishment of mitotic spindle, centrosome duplication, centrosome separation as well as maturation, chromosomal alignment, spindle assembly checkpoint, and cytokinesis. Required for initial activation of CDK1 at centrosomes. Phosphorylates numerous target proteins, including ARHGEF2, BORA, BRCA1, CDC25B, DLGP5, HDAC6, KIF2A, LATS2, NDE [...] "
AURKB,"Aurora kinase B; Serine/threonine-protein kinase component of the chromosomal passenger complex (CPC), a complex that acts as a key regulator of mitosis. The CPC complex has essential functions at the centromere in ensuring correct chromosome alignment and segregation and is required for chromatin-induced microtubule stabilization and spindle assembly. Involved in the bipolar attachment of spindle microtubules to kinetochores and is a key regulator for the onset of cytokinesis during mitosis. Required for central/midzone spindle assembly and cleavage furrow formation. Key component of  [...] "
B4GALT3,"Beta-1,4-galactosyltransferase 3; Responsible for the synthesis of complex-type N-linked oligosaccharides in many glycoproteins as well as the carbohydrate moieties of glycolipids; Beta 4-glycosyltransferases"
BFAR,"Bifunctional apoptosis regulator; Apoptosis regulator. Has anti-apoptotic activity, both for apoptosis triggered via death-receptors and via mitochondrial factors; Ring finger proteins"
BIRC5,Baculoviral IAP repeat containing 5
